epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1680017579356,2023-03-28T17.32.59.356,1.470,0.010,-0.018,1.017
1680017579366,2023-03-28T17.32.59.366,1.480,0.009,-0.013,1.018
1680017579376,2023-03-28T17.32.59.376,1.490,0.008,-0.011,1.017
1680017579386,2023-03-28T17.32.59.386,1.500,0.009,-0.013,1.018
1680017579396,2023-03-28T17.32.59.396,1.510,0.010,-0.015,1.019
1680017579406,2023-03-28T17.32.59.406,1.520,0.011,-0.021,1.016
1680017579416,2023-03-28T17.32.59.416,1.530,0.012,-0.020,1.016
1680017579426,2023-03-28T17.32.59.426,1.540,0.012,-0.018,1.019
1680017579436,2023-03-28T17.32.59.436,1.550,0.012,-0.014,1.018
1680017579446,2023-03-28T17.32.59.446,1.560,0.008,-0.013,1.019
1680017579456,2023-03-28T17.32.59.456,1.570,0.009,-0.014,1.018
1680017579466,2023-03-28T17.32.59.466,1.580,0.010,-0.014,1.017
1680017579476,2023-03-28T17.32.59.476,1.590,0.010,-0.017,1.018
1680017579486,2023-03-28T17.32.59.486,1.600,0.011,-0.018,1.017
1680017579496,2023-03-28T17.32.59.496,1.610,0.013,-0.018,1.015
1680017579506,2023-03-28T17.32.59.506,1.620,0.012,-0.017,1.017
1680017579516,2023-03-28T17.32.59.516,1.630,0.009,-0.015,1.018
1680017579526,2023-03-28T17.32.59.526,1.640,0.009,-0.012,1.018
1680017579536,2023-03-28T17.32.59.536,1.650,0.010,-0.015,1.018
1680017579546,2023-03-28T17.32.59.546,1.660,0.011,-0.016,1.016
1680017579556,2023-03-28T17.32.59.556,1.670,0.013,-0.017,1.018
1680017579566,2023-03-28T17.32.59.566,1.680,0.011,-0.018,1.020
1680017579576,2023-03-28T17.32.59.576,1.690,0.012,-0.019,1.015
1680017579586,2023-03-28T17.32.59.586,1.700,0.010,-0.016,1.017
1680017579596,2023-03-28T17.32.59.596,1.710,0.010,-0.015,1.017
1680017579606,2023-03-28T17.32.59.606,1.720,0.010,-0.012,1.018
1680017579616,2023-03-28T17.32.59.616,1.730,0.010,-0.015,1.018
1680017579626,2023-03-28T17.32.59.626,1.740,0.011,-0.017,1.019
1680017579636,2023-03-28T17.32.59.636,1.750,0.012,-0.017,1.020
1680017579646,2023-03-28T17.32.59.646,1.760,0.012,-0.018,1.019
1680017579656,2023-03-28T17.32.59.656,1.770,0.010,-0.020,1.017
1680017579666,2023-03-28T17.32.59.666,1.780,0.010,-0.015,1.017
1680017579676,2023-03-28T17.32.59.676,1.790,0.010,-0.013,1.020
1680017579686,2023-03-28T17.32.59.686,1.800,0.012,-0.012,1.017
1680017579696,2023-03-28T17.32.59.696,1.810,0.010,-0.015,1.017
1680017579706,2023-03-28T17.32.59.706,1.820,0.011,-0.016,1.020
1680017579716,2023-03-28T17.32.59.716,1.830,0.010,-0.019,1.019
1680017579726,2023-03-28T17.32.59.726,1.840,0.012,-0.018,1.017
1680017579736,2023-03-28T17.32.59.736,1.850,0.013,-0.015,1.017
1680017579746,2023-03-28T17.32.59.746,1.860,0.011,-0.014,1.019
1680017579756,2023-03-28T17.32.59.756,1.870,0.010,-0.013,1.020
1680017579766,2023-03-28T17.32.59.766,1.880,0.009,-0.014,1.019
1680017579776,2023-03-28T17.32.59.776,1.890,0.011,-0.013,1.018
1680017579786,2023-03-28T17.32.59.786,1.900,0.011,-0.017,1.020
1680017579796,2023-03-28T17.32.59.796,1.910,0.012,-0.017,1.018
1680017579806,2023-03-28T17.32.59.806,1.920,0.010,-0.019,1.019
1680017579816,2023-03-28T17.32.59.816,1.930,0.011,-0.017,1.018
1680017579826,2023-03-28T17.32.59.826,1.940,0.010,-0.012,1.019
1680017579836,2023-03-28T17.32.59.836,1.950,0.010,-0.012,1.017
1680017579846,2023-03-28T17.32.59.846,1.960,0.011,-0.016,1.018
1680017579856,2023-03-28T17.32.59.856,1.970,0.011,-0.017,1.017
1680017579866,2023-03-28T17.32.59.866,1.980,0.012,-0.018,1.018
1680017579876,2023-03-28T17.32.59.876,1.990,0.012,-0.018,1.018
1680017579886,2023-03-28T17.32.59.886,2.000,0.012,-0.017,1.018
1680017579896,2023-03-28T17.32.59.896,2.010,0.011,-0.014,1.017
1680017579906,2023-03-28T17.32.59.906,2.020,0.011,-0.016,1.017
1680017579916,2023-03-28T17.32.59.916,2.030,0.011,-0.017,1.017
1680017579926,2023-03-28T17.32.59.926,2.040,0.011,-0.017,1.018
1680017579936,2023-03-28T17.32.59.936,2.050,0.010,-0.017,1.018
1680017579946,2023-03-28T17.32.59.946,2.060,0.011,-0.016,1.019
1680017579956,2023-03-28T17.32.59.956,2.070,0.011,-0.015,1.019
1680017579966,2023-03-28T17.32.59.966,2.080,0.010,-0.016,1.017
1680017579976,2023-03-28T17.32.59.976,2.090,0.011,-0.014,1.018
1680017579986,2023-03-28T17.32.59.986,2.100,0.010,-0.014,1.017
1680017579996,2023-03-28T17.32.59.996,2.110,0.010,-0.014,1.017
1680017580006,2023-03-28T17.33.00.006,2.120,0.012,-0.017,1.017
1680017580016,2023-03-28T17.33.00.016,2.130,0.010,-0.018,1.017
1680017580026,2023-03-28T17.33.00.026,2.140,0.012,-0.016,1.017
1680017580036,2023-03-28T17.33.00.036,2.150,0.010,-0.017,1.018
1680017580046,2023-03-28T17.33.00.046,2.160,0.009,-0.015,1.019
1680017580056,2023-03-28T17.33.00.056,2.170,0.009,-0.015,1.019
1680017580066,2023-03-28T17.33.00.066,2.180,0.009,-0.015,1.017
1680017580076,2023-03-28T17.33.00.076,2.190,0.010,-0.015,1.019
1680017580086,2023-03-28T17.33.00.086,2.200,0.011,-0.018,1.017
1680017580096,2023-03-28T17.33.00.096,2.210,0.013,-0.017,1.018
1680017580106,2023-03-28T17.33.00.106,2.220,0.012,-0.014,1.021
1680017580116,2023-03-28T17.33.00.116,2.230,0.011,-0.018,1.019
1680017580126,2023-03-28T17.33.00.126,2.240,0.010,-0.017,1.019
1680017580136,2023-03-28T17.33.00.136,2.250,0.010,-0.013,1.018
1680017580146,2023-03-28T17.33.00.146,2.260,0.008,-0.013,1.019
1680017580156,2023-03-28T17.33.00.156,2.270,0.009,-0.016,1.018
1680017580166,2023-03-28T17.33.00.166,2.280,0.012,-0.015,1.018
1680017580176,2023-03-28T17.33.00.176,2.290,0.013,-0.016,1.020
1680017580186,2023-03-28T17.33.00.186,2.300,0.011,-0.019,1.019
1680017580196,2023-03-28T17.33.00.196,2.310,0.011,-0.017,1.018
1680017580206,2023-03-28T17.33.00.206,2.320,0.010,-0.013,1.017
1680017580216,2023-03-28T17.33.00.216,2.330,0.011,-0.014,1.019
1680017580226,2023-03-28T17.33.00.226,2.340,0.011,-0.014,1.019
1680017580236,2023-03-28T17.33.00.236,2.350,0.011,-0.017,1.019
1680017580246,2023-03-28T17.33.00.246,2.360,0.013,-0.018,1.017
1680017580256,2023-03-28T17.33.00.256,2.370,0.013,-0.018,1.018
1680017580266,2023-03-28T17.33.00.266,2.380,0.012,-0.016,1.018
1680017580276,2023-03-28T17.33.00.276,2.390,0.010,-0.016,1.018
1680017580286,2023-03-28T17.33.00.286,2.400,0.009,-0.014,1.018
1680017580296,2023-03-28T17.33.00.296,2.410,0.012,-0.014,1.018
1680017580306,2023-03-28T17.33.00.306,2.420,0.010,-0.013,1.018
1680017580316,2023-03-28T17.33.00.316,2.430,0.012,-0.017,1.016
1680017580326,2023-03-28T17.33.00.326,2.440,0.011,-0.019,1.018
1680017580336,2023-03-28T17.33.00.336,2.450,0.012,-0.019,1.018
1680017580346,2023-03-28T17.33.00.346,2.460,0.011,-0.016,1.019
1680017580356,2023-03-28T17.33.00.356,2.470,0.009,-0.014,1.018
1680017580366,2023-03-28T17.33.00.366,2.480,0.011,-0.016,1.015
1680017580376,2023-03-28T17.33.00.376,2.490,0.010,-0.014,1.016
1680017580386,2023-03-28T17.33.00.386,2.500,0.011,-0.017,1.020
1680017580396,2023-03-28T17.33.00.396,2.510,0.012,-0.016,1.018
1680017580406,2023-03-28T17.33.00.406,2.520,0.012,-0.016,1.017
1680017580416,2023-03-28T17.33.00.416,2.530,0.011,-0.016,1.020
1680017580426,2023-03-28T17.33.00.426,2.540,0.011,-0.016,1.016
1680017580436,2023-03-28T17.33.00.436,2.550,0.010,-0.014,1.019
1680017580446,2023-03-28T17.33.00.446,2.560,0.009,-0.014,1.019
1680017580456,2023-03-28T17.33.00.456,2.570,0.013,-0.016,1.017
1680017580466,2023-03-28T17.33.00.466,2.580,0.009,-0.014,1.016
1680017580476,2023-03-28T17.33.00.476,2.590,0.009,-0.018,1.019
1680017580486,2023-03-28T17.33.00.486,2.600,0.011,-0.016,1.018
1680017580496,2023-03-28T17.33.00.496,2.610,0.011,-0.015,1.016
1680017580506,2023-03-28T17.33.00.506,2.620,0.010,-0.014,1.017
1680017580516,2023-03-28T17.33.00.516,2.630,0.009,-0.014,1.018
1680017580526,2023-03-28T17.33.00.526,2.640,0.010,-0.014,1.017
1680017580536,2023-03-28T17.33.00.536,2.650,0.012,-0.016,1.020
1680017580546,2023-03-28T17.33.00.546,2.660,0.011,-0.016,1.017
1680017580556,2023-03-28T17.33.00.556,2.670,0.011,-0.018,1.018
1680017580566,2023-03-28T17.33.00.566,2.680,0.012,-0.016,1.019
1680017580576,2023-03-28T17.33.00.576,2.690,0.010,-0.016,1.018
1680017580586,2023-03-28T17.33.00.586,2.700,0.009,-0.015,1.017
