epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1680017579314,2023-03-28T17.32.59.314,1.180,0.030,-0.014,1.020
1680017579324,2023-03-28T17.32.59.324,1.190,0.031,-0.016,1.020
1680017579334,2023-03-28T17.32.59.334,1.200,0.034,-0.018,1.021
1680017579344,2023-03-28T17.32.59.344,1.210,0.035,-0.020,1.021
1680017579354,2023-03-28T17.32.59.354,1.220,0.032,-0.019,1.021
1680017579364,2023-03-28T17.32.59.364,1.230,0.031,-0.016,1.021
1680017579374,2023-03-28T17.32.59.374,1.240,0.030,-0.015,1.021
1680017579384,2023-03-28T17.32.59.384,1.250,0.029,-0.014,1.021
1680017579394,2023-03-28T17.32.59.394,1.260,0.029,-0.013,1.018
1680017579404,2023-03-28T17.32.59.404,1.270,0.033,-0.015,1.021
1680017579414,2023-03-28T17.32.59.414,1.280,0.034,-0.019,1.020
1680017579424,2023-03-28T17.32.59.424,1.290,0.032,-0.020,1.020
1680017579434,2023-03-28T17.32.59.434,1.300,0.032,-0.018,1.022
1680017579444,2023-03-28T17.32.59.444,1.310,0.030,-0.016,1.021
1680017579454,2023-03-28T17.32.59.454,1.320,0.029,-0.015,1.021
1680017579464,2023-03-28T17.32.59.464,1.330,0.028,-0.015,1.020
1680017579474,2023-03-28T17.32.59.474,1.340,0.031,-0.016,1.021
1680017579484,2023-03-28T17.32.59.484,1.350,0.034,-0.017,1.021
1680017579494,2023-03-28T17.32.59.494,1.360,0.032,-0.021,1.020
1680017579504,2023-03-28T17.32.59.504,1.370,0.030,-0.021,1.022
1680017579514,2023-03-28T17.32.59.514,1.380,0.030,-0.017,1.020
1680017579524,2023-03-28T17.32.59.524,1.390,0.032,-0.015,1.020
1680017579534,2023-03-28T17.32.59.534,1.400,0.031,-0.014,1.019
1680017579544,2023-03-28T17.32.59.544,1.410,0.031,-0.014,1.020
1680017579554,2023-03-28T17.32.59.554,1.420,0.032,-0.017,1.019
1680017579564,2023-03-28T17.32.59.564,1.430,0.033,-0.019,1.021
1680017579574,2023-03-28T17.32.59.574,1.440,0.033,-0.021,1.021
1680017579584,2023-03-28T17.32.59.584,1.450,0.033,-0.019,1.021
1680017579594,2023-03-28T17.32.59.594,1.460,0.032,-0.017,1.020
1680017579604,2023-03-28T17.32.59.604,1.470,0.030,-0.014,1.021
1680017579614,2023-03-28T17.32.59.614,1.480,0.029,-0.014,1.020
1680017579624,2023-03-28T17.32.59.624,1.490,0.032,-0.016,1.023
1680017579634,2023-03-28T17.32.59.634,1.500,0.033,-0.018,1.021
1680017579644,2023-03-28T17.32.59.644,1.510,0.033,-0.018,1.020
1680017579654,2023-03-28T17.32.59.654,1.520,0.034,-0.019,1.022
1680017579664,2023-03-28T17.32.59.664,1.530,0.033,-0.018,1.022
1680017579674,2023-03-28T17.32.59.674,1.540,0.030,-0.016,1.022
1680017579684,2023-03-28T17.32.59.684,1.550,0.030,-0.016,1.021
1680017579694,2023-03-28T17.32.59.694,1.560,0.031,-0.016,1.021
1680017579704,2023-03-28T17.32.59.704,1.570,0.030,-0.018,1.019
1680017579714,2023-03-28T17.32.59.714,1.580,0.031,-0.019,1.021
1680017579724,2023-03-28T17.32.59.724,1.590,0.034,-0.020,1.023
1680017579734,2023-03-28T17.32.59.734,1.600,0.033,-0.018,1.021
1680017579744,2023-03-28T17.32.59.744,1.610,0.032,-0.017,1.021
1680017579754,2023-03-28T17.32.59.754,1.620,0.030,-0.015,1.021
1680017579764,2023-03-28T17.32.59.764,1.630,0.030,-0.014,1.021
1680017579774,2023-03-28T17.32.59.774,1.640,0.030,-0.017,1.021
1680017579784,2023-03-28T17.32.59.784,1.650,0.031,-0.019,1.020
1680017579794,2023-03-28T17.32.59.794,1.660,0.032,-0.018,1.020
1680017579804,2023-03-28T17.32.59.804,1.670,0.031,-0.018,1.020
1680017579814,2023-03-28T17.32.59.814,1.680,0.032,-0.015,1.021
1680017579824,2023-03-28T17.32.59.824,1.690,0.031,-0.015,1.022
1680017579834,2023-03-28T17.32.59.834,1.700,0.030,-0.015,1.021
1680017579844,2023-03-28T17.32.59.844,1.710,0.031,-0.015,1.021
1680017579854,2023-03-28T17.32.59.854,1.720,0.033,-0.017,1.022
1680017579864,2023-03-28T17.32.59.864,1.730,0.033,-0.018,1.023
1680017579874,2023-03-28T17.32.59.874,1.740,0.033,-0.020,1.023
1680017579884,2023-03-28T17.32.59.884,1.750,0.032,-0.018,1.020
1680017579894,2023-03-28T17.32.59.894,1.760,0.031,-0.017,1.021
1680017579904,2023-03-28T17.32.59.904,1.770,0.032,-0.016,1.021
1680017579914,2023-03-28T17.32.59.914,1.780,0.030,-0.013,1.021
1680017579924,2023-03-28T17.32.59.924,1.790,0.031,-0.015,1.021
1680017579934,2023-03-28T17.32.59.934,1.800,0.031,-0.018,1.020
1680017579944,2023-03-28T17.32.59.944,1.810,0.034,-0.018,1.021
1680017579954,2023-03-28T17.32.59.954,1.820,0.032,-0.019,1.021
1680017579964,2023-03-28T17.32.59.964,1.830,0.031,-0.018,1.022
1680017579974,2023-03-28T17.32.59.974,1.840,0.030,-0.015,1.022
1680017579984,2023-03-28T17.32.59.984,1.850,0.030,-0.016,1.020
1680017579994,2023-03-28T17.32.59.994,1.860,0.030,-0.016,1.022
1680017580004,2023-03-28T17.33.00.004,1.870,0.032,-0.017,1.022
1680017580014,2023-03-28T17.33.00.014,1.880,0.034,-0.018,1.021
1680017580024,2023-03-28T17.33.00.024,1.890,0.033,-0.021,1.022
1680017580034,2023-03-28T17.33.00.034,1.900,0.031,-0.019,1.021
1680017580044,2023-03-28T17.33.00.044,1.910,0.030,-0.016,1.021
1680017580054,2023-03-28T17.33.00.054,1.920,0.031,-0.015,1.023
1680017580064,2023-03-28T17.33.00.064,1.930,0.030,-0.015,1.021
1680017580074,2023-03-28T17.33.00.074,1.940,0.029,-0.018,1.021
1680017580084,2023-03-28T17.33.00.084,1.950,0.031,-0.018,1.020
1680017580094,2023-03-28T17.33.00.094,1.960,0.033,-0.018,1.020
1680017580104,2023-03-28T17.33.00.104,1.970,0.034,-0.020,1.021
1680017580114,2023-03-28T17.33.00.114,1.980,0.031,-0.019,1.022
1680017580124,2023-03-28T17.33.00.124,1.990,0.032,-0.015,1.020
1680017580134,2023-03-28T17.33.00.134,2.000,0.032,-0.016,1.020
1680017580144,2023-03-28T17.33.00.144,2.010,0.030,-0.015,1.021
1680017580154,2023-03-28T17.33.00.154,2.020,0.031,-0.016,1.022
1680017580164,2023-03-28T17.33.00.164,2.030,0.031,-0.018,1.020
1680017580174,2023-03-28T17.33.00.174,2.040,0.033,-0.020,1.021
1680017580184,2023-03-28T17.33.00.184,2.050,0.032,-0.017,1.022
1680017580194,2023-03-28T17.33.00.194,2.060,0.031,-0.018,1.021
1680017580204,2023-03-28T17.33.00.204,2.070,0.030,-0.015,1.021
1680017580214,2023-03-28T17.33.00.214,2.080,0.030,-0.015,1.021
1680017580224,2023-03-28T17.33.00.224,2.090,0.031,-0.015,1.021
1680017580234,2023-03-28T17.33.00.234,2.100,0.031,-0.017,1.023
1680017580244,2023-03-28T17.33.00.244,2.110,0.033,-0.018,1.021
1680017580254,2023-03-28T17.33.00.254,2.120,0.031,-0.019,1.019
1680017580264,2023-03-28T17.33.00.264,2.130,0.031,-0.019,1.021
1680017580274,2023-03-28T17.33.00.274,2.140,0.030,-0.016,1.021
1680017580284,2023-03-28T17.33.00.284,2.150,0.030,-0.016,1.021
1680017580294,2023-03-28T17.33.00.294,2.160,0.032,-0.015,1.021
1680017580304,2023-03-28T17.33.00.304,2.170,0.031,-0.017,1.021
1680017580314,2023-03-28T17.33.00.314,2.180,0.031,-0.017,1.023
1680017580324,2023-03-28T17.33.00.324,2.190,0.032,-0.019,1.021
1680017580334,2023-03-28T17.33.00.334,2.200,0.030,-0.017,1.021
1680017580344,2023-03-28T17.33.00.344,2.210,0.031,-0.018,1.020
1680017580354,2023-03-28T17.33.00.354,2.220,0.031,-0.016,1.021
1680017580364,2023-03-28T17.33.00.364,2.230,0.031,-0.015,1.020
1680017580374,2023-03-28T17.33.00.374,2.240,0.033,-0.017,1.022
1680017580384,2023-03-28T17.33.00.384,2.250,0.033,-0.017,1.021
1680017580394,2023-03-28T17.33.00.394,2.260,0.033,-0.018,1.021
1680017580404,2023-03-28T17.33.00.404,2.270,0.031,-0.018,1.020
1680017580414,2023-03-28T17.33.00.414,2.280,0.031,-0.017,1.021
1680017580424,2023-03-28T17.33.00.424,2.290,0.031,-0.016,1.022
1680017580434,2023-03-28T17.33.00.434,2.300,0.032,-0.015,1.021
1680017580444,2023-03-28T17.33.00.444,2.310,0.032,-0.014,1.021
1680017580454,2023-03-28T17.33.00.454,2.320,0.031,-0.016,1.021
1680017580464,2023-03-28T17.33.00.464,2.330,0.033,-0.018,1.021
1680017580474,2023-03-28T17.33.00.474,2.340,0.033,-0.019,1.021
1680017580484,2023-03-28T17.33.00.484,2.350,0.031,-0.019,1.023
1680017580494,2023-03-28T17.33.00.494,2.360,0.032,-0.018,1.023
1680017580504,2023-03-28T17.33.00.504,2.370,0.031,-0.016,1.022
1680017580514,2023-03-28T17.33.00.514,2.380,0.030,-0.014,1.021
1680017580524,2023-03-28T17.33.00.524,2.390,0.031,-0.016,1.019
1680017580534,2023-03-28T17.33.00.534,2.400,0.032,-0.017,1.022
1680017580544,2023-03-28T17.33.00.544,2.410,0.031,-0.016,1.021
1680017580554,2023-03-28T17.33.00.554,2.420,0.031,-0.017,1.019
1680017580564,2023-03-28T17.33.00.564,2.430,0.031,-0.019,1.022
1680017580574,2023-03-28T17.33.00.574,2.440,0.032,-0.015,1.021
1680017580584,2023-03-28T17.33.00.584,2.450,0.031,-0.015,1.021
1680017580594,2023-03-28T17.33.00.594,2.460,0.030,-0.016,1.020
1680017580604,2023-03-28T17.33.00.604,2.470,0.033,-0.017,1.021
1680017580614,2023-03-28T17.33.00.614,2.480,0.033,-0.019,1.021
1680017580624,2023-03-28T17.33.00.624,2.490,0.032,-0.018,1.020
1680017580634,2023-03-28T17.33.00.634,2.500,0.031,-0.017,1.022
1680017580644,2023-03-28T17.33.00.644,2.510,0.030,-0.018,1.023
1680017580654,2023-03-28T17.33.00.654,2.520,0.030,-0.014,1.020
1680017580664,2023-03-28T17.33.00.664,2.530,0.031,-0.016,1.021
1680017580674,2023-03-28T17.33.00.674,2.540,0.032,-0.016,1.020
1680017580684,2023-03-28T17.33.00.684,2.550,0.031,-0.017,1.021
1680017580694,2023-03-28T17.33.00.694,2.560,0.032,-0.018,1.019
1680017580704,2023-03-28T17.33.00.704,2.570,0.031,-0.018,1.020
1680017580714,2023-03-28T17.33.00.714,2.580,0.030,-0.018,1.021
1680017580724,2023-03-28T17.33.00.724,2.590,0.033,-0.017,1.023
1680017580734,2023-03-28T17.33.00.734,2.600,0.033,-0.016,1.021
1680017580744,2023-03-28T17.33.00.744,2.610,0.031,-0.015,1.021
1680017580754,2023-03-28T17.33.00.754,2.620,0.030,-0.016,1.020
1680017580764,2023-03-28T17.33.00.764,2.630,0.031,-0.017,1.021
1680017580774,2023-03-28T17.33.00.774,2.640,0.033,-0.019,1.020
1680017580784,2023-03-28T17.33.00.784,2.650,0.032,-0.016,1.021
1680017580794,2023-03-28T17.33.00.794,2.660,0.032,-0.016,1.020
1680017580804,2023-03-28T17.33.00.804,2.670,0.031,-0.017,1.021
1680017580814,2023-03-28T17.33.00.814,2.680,0.029,-0.017,1.020
1680017580824,2023-03-28T17.33.00.824,2.690,0.029,-0.016,1.021
1680017580834,2023-03-28T17.33.00.834,2.700,0.032,-0.017,1.021
1680017580844,2023-03-28T17.33.00.844,2.710,0.032,-0.017,1.020
1680017580854,2023-03-28T17.33.00.854,2.720,0.031,-0.018,1.021
1680017580864,2023-03-28T17.33.00.864,2.730,0.031,-0.016,1.020
1680017580874,2023-03-28T17.33.00.874,2.740,0.033,-0.016,1.020
1680017580884,2023-03-28T17.33.00.884,2.750,0.031,-0.017,1.019
1680017580894,2023-03-28T17.33.00.894,2.760,0.033,-0.017,1.021
1680017580904,2023-03-28T17.33.00.904,2.770,0.032,-0.016,1.022
1680017580914,2023-03-28T17.33.00.914,2.780,0.032,-0.016,1.021
1680017580924,2023-03-28T17.33.00.924,2.790,0.030,-0.018,1.022
1680017580934,2023-03-28T17.33.00.934,2.800,0.033,-0.020,1.023
1680017580944,2023-03-28T17.33.00.944,2.810,0.032,-0.018,1.023
1680017580954,2023-03-28T17.33.00.954,2.820,0.030,-0.015,1.020
1680017580964,2023-03-28T17.33.00.964,2.830,0.031,-0.015,1.021
1680017580974,2023-03-28T17.33.00.974,2.840,0.032,-0.014,1.021
1680017580984,2023-03-28T17.33.00.984,2.850,0.031,-0.017,1.020
1680017580994,2023-03-28T17.33.00.994,2.860,0.032,-0.017,1.020
1680017581004,2023-03-28T17.33.01.004,2.870,0.032,-0.019,1.021
1680017581014,2023-03-28T17.33.01.014,2.880,0.031,-0.016,1.023
1680017581024,2023-03-28T17.33.01.024,2.890,0.031,-0.015,1.020
1680017581034,2023-03-28T17.33.01.034,2.900,0.031,-0.014,1.021
1680017581044,2023-03-28T17.33.01.044,2.910,0.032,-0.017,1.021
1680017581054,2023-03-28T17.33.01.054,2.920,0.032,-0.015,1.021
1680017581064,2023-03-28T17.33.01.064,2.930,0.031,-0.017,1.021
1680017581074,2023-03-28T17.33.01.074,2.940,0.031,-0.017,1.021
1680017581084,2023-03-28T17.33.01.084,2.950,0.032,-0.016,1.023
1680017581094,2023-03-28T17.33.01.094,2.960,0.032,-0.016,1.021
1680017581104,2023-03-28T17.33.01.104,2.970,0.031,-0.017,1.022
1680017581114,2023-03-28T17.33.01.114,2.980,0.031,-0.016,1.021
1680017581124,2023-03-28T17.33.01.124,2.990,0.031,-0.017,1.021
1680017581134,2023-03-28T17.33.01.134,3.000,0.032,-0.018,1.021
1680017581144,2023-03-28T17.33.01.144,3.010,0.031,-0.017,1.021
1680017581154,2023-03-28T17.33.01.154,3.020,0.033,-0.017,1.021
1680017581164,2023-03-28T17.33.01.164,3.030,0.033,-0.018,1.021
1680017581174,2023-03-28T17.33.01.174,3.040,0.031,-0.018,1.020
1680017581184,2023-03-28T17.33.01.184,3.050,0.032,-0.017,1.021
1680017581194,2023-03-28T17.33.01.194,3.060,0.030,-0.018,1.020
1680017581204,2023-03-28T17.33.01.204,3.070,0.030,-0.016,1.020
1680017581214,2023-03-28T17.33.01.214,3.080,0.031,-0.018,1.022
1680017581224,2023-03-28T17.33.01.224,3.090,0.031,-0.017,1.021
1680017581234,2023-03-28T17.33.01.234,3.100,0.033,-0.018,1.020
1680017581244,2023-03-28T17.33.01.244,3.110,0.032,-0.017,1.020
1680017581254,2023-03-28T17.33.01.254,3.120,0.031,-0.016,1.020
1680017581264,2023-03-28T17.33.01.264,3.130,0.032,-0.016,1.022
1680017581274,2023-03-28T17.33.01.274,3.140,0.030,-0.016,1.021
1680017581284,2023-03-28T17.33.01.284,3.150,0.032,-0.016,1.022
1680017581294,2023-03-28T17.33.01.294,3.160,0.032,-0.017,1.021
1680017581304,2023-03-28T17.33.01.304,3.170,0.031,-0.016,1.022
1680017581314,2023-03-28T17.33.01.314,3.180,0.032,-0.017,1.021
1680017581324,2023-03-28T17.33.01.324,3.190,0.030,-0.017,1.020
1680017581334,2023-03-28T17.33.01.334,3.200,0.031,-0.017,1.021
1680017581344,2023-03-28T17.33.01.344,3.210,0.030,-0.016,1.022
1680017581354,2023-03-28T17.33.01.354,3.220,0.030,-0.015,1.020
1680017581364,2023-03-28T17.33.01.364,3.230,0.032,-0.018,1.021
1680017581374,2023-03-28T17.33.01.374,3.240,0.031,-0.017,1.022
1680017581384,2023-03-28T17.33.01.384,3.250,0.031,-0.017,1.022
1680017581394,2023-03-28T17.33.01.394,3.260,0.031,-0.016,1.021
1680017581404,2023-03-28T17.33.01.404,3.270,0.031,-0.015,1.021
1680017581414,2023-03-28T17.33.01.414,3.280,0.032,-0.016,1.021
1680017581424,2023-03-28T17.33.01.424,3.290,0.033,-0.017,1.021
1680017581434,2023-03-28T17.33.01.434,3.300,0.031,-0.018,1.021
1680017581444,2023-03-28T17.33.01.444,3.310,0.032,-0.018,1.019
1680017581454,2023-03-28T17.33.01.454,3.320,0.031,-0.017,1.020
1680017581464,2023-03-28T17.33.01.464,3.330,0.031,-0.016,1.021
1680017581474,2023-03-28T17.33.01.474,3.340,0.031,-0.017,1.020
1680017581484,2023-03-28T17.33.01.484,3.350,0.032,-0.015,1.019
1680017581494,2023-03-28T17.33.01.494,3.360,0.033,-0.017,1.021
1680017581504,2023-03-28T17.33.01.504,3.370,0.030,-0.017,1.022
1680017581514,2023-03-28T17.33.01.514,3.380,0.032,-0.017,1.022
1680017581524,2023-03-28T17.33.01.524,3.390,0.031,-0.016,1.021
1680017581534,2023-03-28T17.33.01.534,3.400,0.032,-0.017,1.021
1680017581544,2023-03-28T17.33.01.544,3.410,0.032,-0.017,1.021
1680017581554,2023-03-28T17.33.01.554,3.420,0.032,-0.017,1.021
1680017581564,2023-03-28T17.33.01.564,3.430,0.032,-0.017,1.023
1680017581574,2023-03-28T17.33.01.574,3.440,0.032,-0.016,1.021
1680017581584,2023-03-28T17.33.01.584,3.450,0.032,-0.017,1.021
1680017581594,2023-03-28T17.33.01.594,3.460,0.033,-0.016,1.021
1680017581604,2023-03-28T17.33.01.604,3.470,0.035,-0.018,1.019
1680017581614,2023-03-28T17.33.01.614,3.480,0.033,-0.017,1.021
1680017581624,2023-03-28T17.33.01.624,3.490,0.031,-0.016,1.022
